Date,CCI Value,CCI Rolling Mean,CCI Rolling Percent Change,CPI Value,CPI Rolling Mean,CPI Rolling Percent Change,Unemployment Rate (%),Unemployment Rate (%) Rolling Mean,Unemployment Rate Rolling Percent Change,CCI Rolling Percent Change Flag,CPI Rolling Percent Change Flag,Unemployment Rate Rolling Percent Change Flag,Economic Climate
1988-05-01,100.9547,100.63220000000001,-0.1810911959656658,117.5,115.47500000000001,4.109691960931627,5.8,6.241666666666666,-10.40669856459332,negative,positive,negative,Lean to Bad
1988-06-01,101.022,100.65238333333333,-0.11340556677188474,118.0,115.85000000000001,4.1270316830200215,5.8,6.166666666666667,-11.05769230769229,negative,positive,negative,Lean to Bad
1988-07-01,101.0891,100.66963333333332,-0.06184731885753303,118.5,116.24166666666667,4.143646408839796,5.7,6.091666666666666,-11.608222490931086,negative,positive,negative,Lean to Bad
1988-08-01,101.1967,100.69545833333332,-0.01694592273076001,119.0,116.63333333333333,4.129157056766597,5.7,6.0249999999999995,-12.043795620437969,negative,positive,negative,Lean to Bad
1988-09-01,101.1816,100.73523333333334,0.04277890226309644,119.5,117.03333333333335,4.122182680901565,5.6,5.958333333333333,-12.377450980392158,positive,positive,negative,Comfortable to Good
1988-10-01,101.042,100.79191666666667,0.14015447129027692,119.9,117.44166666666668,4.114952718676146,5.6,5.891666666666667,-12.716049382716054,positive,positive,negative,Comfortable to Good
1988-11-01,100.9409,100.86274166666668,0.2591398700076297,120.3,117.85000000000001,4.092448108346836,5.5,5.825,-12.951432129514318,positive,positive,negative,Comfortable to Good
1988-12-01,100.9674,100.92985833333334,0.3560142806752653,120.7,118.27500000000002,4.100044007628023,5.5,5.766666666666667,-12.955974842767294,positive,positive,negative,Comfortable to Good
1989-01-01,101.1073,100.98700000000001,0.4187470469193322,121.2,118.70833333333333,4.130116959064334,5.5,5.716666666666666,-12.722646310432584,positive,positive,negative,Comfortable to Good
1989-02-01,101.0873,101.02268333333335,0.4428934712527921,121.6,119.15833333333335,4.189740600408065,5.4,5.666666666666667,-12.483912483912462,positive,positive,negative,Comfortable to Good
1989-03-01,100.9435,101.03297500000001,0.43444429873871204,122.2,119.63333333333334,4.278346771264618,5.4,5.616666666666667,-12.239583333333314,positive,positive,negative,Comfortable to Good
1989-04-01,100.7469,101.02328333333332,0.4091558339638368,123.1,120.125,4.365768896611644,5.4,5.575,-11.857707509881422,positive,positive,negative,Comfortable to Good
1989-05-01,100.6164,100.99509166666667,0.36061187837159725,123.7,120.64166666666667,4.4742729306487705,5.3,5.533333333333334,-11.348464619492638,positive,positive,negative,Comfortable to Good
1989-06-01,100.5844,100.958625,0.30425674636285205,124.1,121.14999999999999,4.574881312041423,5.3,5.491666666666667,-10.945945945945946,positive,positive,negative,Comfortable to Good
1989-07-01,100.6331,100.92062500000002,0.24932212262620546,124.5,121.64999999999999,4.652663273352919,5.3,5.458333333333333,-10.396716826265385,positive,positive,negative,Comfortable to Good
1989-08-01,100.7144,100.88043333333333,0.18369746070143744,124.5,122.10833333333333,4.694198342383538,5.3,5.425,-9.958506224066388,positive,positive,negative,Comfortable to Good
1989-09-01,100.8666,100.85418333333332,0.11808182307611048,124.8,122.55,4.7137567644545575,5.3,5.3999999999999995,-9.37062937062938,positive,positive,negative,Comfortable to Good
1989-10-01,100.8494,100.83813333333335,0.04585354480313164,125.4,123.00833333333333,4.73994181508548,5.3,5.375,-8.769448373408773,positive,positive,negative,Comfortable to Good
1989-11-01,100.7252,100.82015833333332,-0.04221909163849569,125.9,123.47500000000001,4.773016546457365,5.3,5.358333333333333,-8.01144492131617,negative,positive,negative,Lean to Bad
1989-12-01,100.6509,100.79378333333334,-0.13482135241942306,126.3,123.94166666666666,4.791094201366852,5.3,5.341666666666668,-7.369942196531776,negative,positive,negative,Lean to Bad
1990-01-01,100.6483,100.75553333333333,-0.2292044190506437,127.5,124.46666666666665,4.850824850824842,5.3,5.325,-6.851311953352757,negative,positive,negative,Lean to Bad
1990-02-01,100.6302,100.71744166666667,-0.3021516124844026,128.0,125.0,4.902440730120983,5.3,5.316666666666666,-6.176470588235306,negative,positive,negative,Lean to Bad
1990-03-01,100.6992,100.69708333333335,-0.3324574641760836,128.6,125.53333333333332,4.931735859570896,5.3,5.308333333333333,-5.48961424332346,negative,positive,negative,Lean to Bad
1990-04-01,100.7518,100.69749166666668,-0.32249166322546596,128.9,126.01666666666667,4.904613250086709,5.3,5.3,-4.932735426008971,negative,positive,negative,Lean to Bad
1990-05-01,100.6218,100.69794166666667,-0.29422221921511227,129.1,126.46666666666665,4.828348414726791,5.3,5.3,-4.216867469879537,negative,positive,negative,Lean to Bad
1990-06-01,100.336,100.67724166666666,-0.2787115348820701,129.9,126.95,4.787453569954603,5.3,5.3,-3.490136570561464,negative,positive,negative,Lean to Bad
1990-07-01,99.85313,100.61224416666666,-0.3055677006888913,130.5,127.45,4.767776407727098,5.4,5.308333333333334,-2.7480916030534264,negative,positive,negative,Lean to Bad
1990-08-01,99.07843,100.47591333333334,-0.4009895543007458,131.6,128.04166666666666,4.859073227325461,5.4,5.316666666666666,-1.9969278033794224,negative,positive,negative,Lean to Bad
1990-09-01,98.33419,100.26487916666667,-0.584313061877606,132.5,128.68333333333334,5.004759961920313,5.4,5.325,-1.3888888888888729,negative,positive,negative,Lean to Bad
1990-10-01,97.73936,100.00570916666668,-0.8255053313164673,133.4,129.35,5.155477271187592,5.5,5.341666666666666,-0.6201550387597066,negative,positive,negative,Lean to Bad
1990-11-01,97.52813,99.73928666666667,-1.0720789220475702,133.7,130.0,5.284470540595265,5.5,5.358333333333333,0.0,negative,positive,negative,Lean to Bad
1990-12-01,97.59235,99.48440749999999,-1.2990640791834651,134.2,130.65833333333333,5.419216029045915,5.6,5.383333333333333,0.7800312012480326,negative,positive,positive,Lean to Bad
1991-01-01,97.94108,99.25880583333333,-1.4855040219461935,134.7,131.25833333333333,5.456614890198175,5.7,5.416666666666667,1.7214397496087663,negative,positive,positive,Lean to Bad
1991-02-01,98.57729,99.08772999999998,-1.6181027235186995,134.8,131.825,5.459999999999998,5.8,5.458333333333333,2.6645768025078453,negative,positive,positive,Lean to Bad
1991-03-01,99.30277,98.97136083333334,-1.7137760527655255,134.8,132.34166666666667,5.423526287838576,6.0,5.516666666666667,3.9246467817896535,negative,positive,positive,Lean to Bad
1991-04-01,99.50769,98.867685,-1.8171323201612521,135.1,132.85833333333332,5.429176034916017,6.1,5.583333333333333,5.345911949685522,negative,positive,positive,Lean to Bad
1991-05-01,99.49062,98.77342,-1.9111827260951064,135.6,133.4,5.482340537691099,6.2,5.658333333333334,6.761006289308202,negative,positive,positive,Lean to Bad
1991-06-01,99.55604,98.70842333333333,-1.955574368884594,136.0,133.90833333333333,5.4811605619009995,6.3,5.741666666666667,8.333333333333348,negative,positive,positive,Lean to Bad
